Query	run1	run2
1	3158.977	3191.042
2	116203.271	118370.835
3	599.615	540.882
4	280.897	279.508
5	337.060	337.062
6	397.304	394.270
7	489.331	485.754
8	476.583	478.450
9	2693.188	2808.272
10	633.317	632.112
11	146.725	145.992
12	1097.047	1088.027
13	1277.897	1292.233
14	462.585	466.094
15	862.050	872.874
16	872.453	861.580
17	51.622	49.855
18	3728.215	3688.260
19	576.180	574.699
20	2109.297	2113.979
21	1315.477	1325.062
22	578.590	571.444
