Query	run1	run2
1	2986.541	2983.357
2	99776.627	99659.091
3	404.092	405.208
4	185.913	185.797
5	247.353	245.746
6	389.130	391.166
7	348.103	348.579
8	341.742	341.474
9	2554.800	2586.780
10	506.113	505.990
11	139.883	139.594
12	1068.722	1071.383
13	1224.252	1230.885
14	455.142	454.847
15	850.472	849.449
16	768.432	780.102
17	33.652	33.983
18	2895.206	2879.894
19	549.744	554.615
20	1979.026	1985.568
21	1109.554	1113.535
22	561.880	554.901
